Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.3,16.1,3.3,1.08,49.0,13.2,236.0,1018219
Omen,14.9,15.1,7.4,0.98,48.7,10.4,202.0,806354
Reyna,17.6,15.7,4.2,1.12,49.9,10.0,240.0,769526
Cypher,14.8,14.6,4.6,1.01,49.7,8.9,199.0,689426
Raze,16.6,16.2,4.4,1.03,48.9,7.1,235.0,550465
Skye,14.3,15.1,7.3,0.95,49.0,7.0,196.0,542004
Sova,14.7,14.7,5.6,1.0,49.8,6.2,203.0,476665
Killjoy,14.8,14.5,3.4,1.02,49.2,4.8,202.0,372734
Chamber,16.4,15.1,2.8,1.09,48.1,4.4,219.0,340351
Sage,14.2,15.0,6.9,0.94,50.4,4.1,195.0,318179
Brimstone,14.5,15.0,9.1,0.97,50.7,3.9,205.0,303243
Viper,14.8,14.7,5.1,1.0,49.5,3.1,202.0,235724
Phoenix,17.2,15.6,4.6,1.1,50.8,2.6,237.0,197455
Breach,14.4,15.4,7.2,0.94,48.0,2.2,198.0,173132
Gekko,14.2,15.1,5.0,0.94,49.6,2.0,192.0,158131
KAY/O,14.4,15.7,9.1,0.92,44.9,1.9,202.0,148682
Astra,15.3,14.8,6.9,1.04,49.2,1.9,207.0,146581
Iso,16.2,16.3,4.1,0.99,44.2,1.8,225.0,137952
Fade,14.5,15.1,6.4,0.96,49.3,1.4,199.0,110107
Yoru,16.2,15.8,4.3,1.02,48.0,1.3,221.0,97744
Neon,16.0,16.5,4.0,0.97,47.4,0.8,222.0,58214
Harbor,14.1,15.3,5.9,0.92,45.5,0.4,193.0,33916
Deadlock,15.5,15.0,4.1,1.03,50.0,0.4,208.0,32181
