Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,16.1,15.0,4.5,1.07,49.9,11.1,231.0,1146428
Sage,12.0,14.5,6.5,0.83,49.7,10.9,175.0,1128732
Omen,13.5,14.8,5.1,0.92,48.8,8.8,193.0,906477
Cypher,13.1,14.1,4.9,0.93,49.7,6.1,186.0,636454
Raze,14.4,15.2,4.7,0.95,49.2,6.1,215.0,628170
Skye,12.4,14.7,6.9,0.84,48.8,5.8,181.0,597165
Jett,15.3,15.1,3.8,1.01,49.3,5.2,220.0,543381
Gekko,12.4,14.8,4.8,0.84,49.2,4.5,178.0,463425
Killjoy,12.8,14.0,4.0,0.91,50.1,4.3,188.0,449032
Brimstone,13.1,14.6,6.7,0.9,50.0,4.3,193.0,447534
Phoenix,14.7,14.9,4.4,0.99,48.9,4.0,214.0,417057
Sova,12.8,14.5,5.0,0.88,48.7,3.9,187.0,400041
Yoru,13.8,15.1,4.2,0.91,46.5,3.1,198.0,325714
Neon,14.3,15.6,4.1,0.92,47.9,3.1,208.0,317424
Chamber,14.3,14.5,3.5,0.99,48.2,2.9,202.0,302147
Viper,12.9,14.5,4.9,0.89,48.6,2.9,188.0,297135
Iso,14.2,15.6,4.2,0.91,46.4,2.8,209.0,288981
Fade,12.4,14.8,6.0,0.83,48.4,2.7,181.0,280271
KAY/O,12.3,15.1,7.7,0.82,46.3,2.4,183.0,249787
Breach,13.3,15.0,5.5,0.88,48.8,1.8,192.0,191202
Deadlock,13.2,14.7,4.1,0.9,49.0,1.6,188.0,161445
Harbor,12.4,14.9,5.2,0.83,46.8,1.0,179.0,99147
Astra,13.5,14.3,5.1,0.95,49.3,0.7,193.0,73119
