Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.3,16.0,3.4,1.08,49.3,12.5,237.0,1117105
Omen,14.8,15.1,7.2,0.98,48.9,10.5,202.0,938526
Reyna,17.6,15.7,4.2,1.12,50.2,10.1,241.0,904143
Cypher,14.7,14.5,4.6,1.01,49.9,8.7,198.0,776863
Raze,16.6,16.1,4.4,1.03,49.3,7.0,235.0,623200
Skye,14.3,15.1,7.3,0.95,49.2,6.9,196.0,615346
Sova,14.7,14.7,5.6,1.0,50.0,5.9,203.0,527070
Killjoy,14.7,14.5,3.4,1.01,49.5,4.8,201.0,430806
Sage,14.1,15.0,6.9,0.94,50.6,4.6,194.0,410945
Chamber,16.4,15.1,2.9,1.09,48.4,4.5,220.0,398359
Brimstone,14.5,15.0,9.0,0.97,50.8,4.1,204.0,369864
Viper,14.7,14.7,5.1,1.0,49.7,3.1,202.0,273797
Phoenix,17.1,15.6,4.6,1.1,50.7,2.6,238.0,235894
Breach,14.4,15.4,7.1,0.94,48.1,2.3,198.0,205631
Gekko,14.1,15.1,5.0,0.94,49.7,2.2,192.0,193829
KAY/O,14.3,15.6,9.0,0.92,45.5,2.0,202.0,178853
Iso,16.2,16.3,4.1,0.99,44.7,1.9,225.0,170223
Astra,15.3,14.8,6.7,1.04,49.7,1.9,207.0,166586
Fade,14.5,15.0,6.4,0.96,49.3,1.5,198.0,132601
Yoru,16.1,15.8,4.2,1.02,47.8,1.2,221.0,111141
Neon,16.0,16.4,4.0,0.98,47.5,0.8,223.0,74777
Harbor,14.1,15.3,5.8,0.92,45.5,0.5,192.0,42589
Deadlock,15.3,15.0,4.0,1.02,49.2,0.5,206.0,41153
