Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,17.9,15.4,4.3,1.16,50.3,11.5,249.0,1981084
Omen,14.8,15.0,6.2,0.99,48.9,9.7,205.0,1683943
Jett,17.4,15.6,3.6,1.11,49.9,9.1,242.0,1570224
Sage,13.4,14.8,6.9,0.91,50.0,7.6,189.0,1313171
Cypher,14.4,14.3,4.8,1.01,49.9,7.3,198.0,1269493
Raze,16.4,15.7,4.5,1.04,49.3,6.5,236.0,1126095
Skye,13.9,14.9,7.2,0.93,49.1,6.1,195.0,1046094
Killjoy,14.2,14.3,3.6,0.99,49.6,4.8,199.0,829838
Brimstone,14.3,14.8,8.0,0.96,50.3,4.8,205.0,822376
Sova,14.4,14.5,5.3,0.99,49.7,4.5,203.0,770282
Chamber,16.2,14.7,3.1,1.1,48.9,4.0,221.0,684116
Phoenix,17.0,15.3,4.5,1.11,50.5,3.2,240.0,553534
Gekko,13.9,15.0,4.9,0.93,49.8,3.0,193.0,512714
Viper,14.4,14.6,5.0,0.99,49.4,2.9,202.0,500889
Iso,16.1,16.0,4.1,1.0,45.9,2.6,228.0,445225
Breach,14.4,15.3,6.2,0.94,48.6,2.4,201.0,415064
KAY/O,13.9,15.4,8.3,0.9,45.8,2.2,200.0,383783
Fade,14.0,15.0,6.1,0.94,49.1,1.8,197.0,313149
Yoru,15.7,15.5,4.2,1.01,47.0,1.6,219.0,279907
Neon,16.0,16.1,4.0,0.99,47.7,1.6,226.0,275270
Astra,15.1,14.6,5.9,1.04,49.8,1.4,208.0,242116
Deadlock,14.7,14.9,4.0,0.99,49.0,0.9,203.0,148981
Harbor,13.7,15.1,5.5,0.91,46.2,0.7,192.0,123456
