Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.3,16.1,3.2,1.07,48.8,15.1,234.0,426775
Omen,14.8,15.1,7.9,0.98,48.7,10.8,201.0,304140
Reyna,17.5,15.8,4.1,1.11,49.6,9.9,237.0,279657
Cypher,14.9,14.7,4.5,1.01,49.4,9.6,198.0,269871
Skye,14.4,15.2,7.4,0.95,48.6,7.4,196.0,208305
Raze,16.7,16.2,4.3,1.03,48.9,7.4,235.0,207989
Sova,14.7,14.7,5.7,1.0,49.2,7.1,202.0,200422
Killjoy,15.1,14.6,3.2,1.03,49.3,5.1,204.0,143649
Chamber,16.5,15.2,2.7,1.09,47.7,3.9,219.0,111220
Brimstone,14.6,15.0,9.6,0.98,50.5,3.5,205.0,97660
Viper,14.8,14.7,5.1,1.01,49.0,3.1,202.0,88293
Sage,14.5,15.0,6.9,0.97,50.7,2.7,199.0,76228
Phoenix,17.1,15.7,4.6,1.09,50.2,2.2,235.0,63015
Astra,15.4,14.8,7.3,1.04,49.4,1.9,207.0,54302
Breach,14.3,15.3,7.6,0.94,47.6,1.9,196.0,54000
KAY/O,14.4,15.6,9.4,0.92,44.3,1.6,203.0,45528
Gekko,14.4,15.1,5.1,0.95,49.7,1.6,193.0,44066
Iso,16.2,16.3,4.1,0.99,44.1,1.5,224.0,41673
Yoru,16.3,15.9,4.3,1.02,48.6,1.3,221.0,37508
Fade,14.7,15.1,6.6,0.98,49.4,1.3,199.0,35610
Neon,16.1,16.6,4.0,0.97,47.2,0.6,222.0,16572
Deadlock,15.7,15.0,4.1,1.05,49.9,0.3,210.0,8196
Harbor,14.2,15.4,6.1,0.93,45.9,0.3,193.0,8088
