Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Sage,10.8,14.3,5.9,0.75,49.8,11.5,159.0,417115
Reyna,14.5,14.8,4.4,0.98,49.5,11.1,212.0,399856
Omen,12.4,14.7,4.6,0.85,48.6,7.9,180.0,283864
Raze,13.1,14.9,4.5,0.88,49.0,6.2,198.0,223843
Skye,11.3,14.6,6.5,0.77,49.2,5.2,168.0,189448
Jett,13.6,14.9,3.6,0.91,48.9,5.2,199.0,186927
Gekko,11.3,14.8,4.5,0.76,49.1,5.0,165.0,182106
Cypher,12.0,13.9,4.8,0.86,50.1,4.9,173.0,177453
Phoenix,13.1,14.7,4.2,0.89,48.3,4.8,194.0,172869
Yoru,12.5,14.9,4.0,0.84,46.6,4.7,182.0,167973
Sova,11.5,14.4,4.7,0.8,48.4,4.1,172.0,148101
Neon,12.8,15.3,3.9,0.84,47.6,3.8,189.0,135834
Brimstone,12.1,14.4,6.0,0.83,49.4,3.6,180.0,131120
Killjoy,11.6,13.9,3.9,0.83,50.5,3.6,174.0,128858
Iso,12.7,15.3,4.1,0.83,46.5,3.1,190.0,112499
Fade,11.1,14.7,5.8,0.75,48.7,3.1,165.0,111542
Viper,11.6,14.4,4.6,0.8,48.6,2.8,172.0,101562
Chamber,12.9,14.4,3.5,0.9,48.4,2.6,186.0,92656
KAY/O,11.2,14.9,7.3,0.75,47.0,2.4,169.0,87981
Deadlock,12.0,14.5,4.0,0.82,49.3,1.7,173.0,60511
Breach,12.3,14.7,5.1,0.83,49.0,1.4,180.0,51063
Harbor,11.2,14.8,4.9,0.76,47.4,0.9,164.0,30892
Astra,12.2,14.0,4.6,0.87,48.2,0.5,178.0,17542
