Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,17.7,15.5,4.3,1.14,50.2,11.0,245.0,1657590
Jett,17.3,15.8,3.5,1.1,49.6,10.0,239.0,1510755
Omen,14.8,15.1,6.5,0.98,48.8,10.0,203.0,1503638
Cypher,14.5,14.4,4.7,1.0,49.8,7.5,198.0,1136429
Sage,13.5,14.9,6.9,0.91,50.0,6.9,189.0,1039017
Raze,16.4,15.9,4.4,1.03,49.1,6.6,235.0,995678
Skye,14.0,15.0,7.2,0.93,49.0,6.3,195.0,948967
Killjoy,14.3,14.4,3.6,0.99,49.4,4.8,199.0,730093
Sova,14.5,14.6,5.4,0.99,49.7,4.8,203.0,727821
Brimstone,14.3,14.9,8.3,0.96,50.4,4.6,203.0,699422
Chamber,16.2,14.9,3.0,1.09,48.8,4.2,220.0,634375
Phoenix,17.0,15.4,4.5,1.1,50.5,3.0,238.0,458163
Viper,14.5,14.6,5.1,0.99,49.5,2.9,201.0,444609
Gekko,13.9,15.0,4.9,0.92,49.6,2.8,191.0,415566
Breach,14.3,15.4,6.4,0.93,48.3,2.4,200.0,367531
Iso,16.1,16.1,4.1,1.0,45.2,2.4,226.0,361609
KAY/O,14.0,15.5,8.5,0.91,45.5,2.2,200.0,329260
Fade,14.1,15.0,6.2,0.94,49.1,1.7,196.0,263575
Astra,15.1,14.6,6.1,1.03,49.6,1.6,207.0,234663
Yoru,15.8,15.6,4.2,1.01,47.1,1.5,219.0,218979
Neon,15.8,16.2,4.0,0.98,47.3,1.3,223.0,197426
Deadlock,14.8,15.0,4.0,0.99,48.7,0.7,202.0,112979
Harbor,13.8,15.2,5.6,0.91,46.2,0.7,191.0,99071
