Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,18.3,16.2,3.1,1.13,50.5,17.2,243.0,48574
Omen,15.4,15.0,8.3,1.03,49.7,10.5,205.0,29655
Raze,17.9,16.4,4.1,1.09,51.2,9.4,246.0,26358
Reyna,18.1,15.8,4.2,1.15,50.9,9.2,243.0,25917
Cypher,15.8,14.8,4.4,1.07,50.5,9.0,206.0,25392
Sova,15.6,14.6,5.8,1.06,50.6,8.6,211.0,24221
Skye,15.0,15.1,8.0,1.0,49.9,7.6,200.0,21348
Killjoy,16.2,14.8,3.1,1.1,50.5,6.8,214.0,19135
Viper,16.0,14.8,5.4,1.08,50.4,4.3,214.0,12152
Chamber,17.3,15.2,2.5,1.14,48.8,2.7,226.0,7743
Brimstone,15.5,15.0,9.8,1.03,50.2,2.4,213.0,6789
Astra,16.1,14.6,7.4,1.1,49.5,1.8,212.0,5102
Phoenix,17.8,15.9,4.9,1.12,52.2,1.7,243.0,4852
KAY/O,15.1,15.7,10.1,0.96,47.3,1.6,208.0,4422
Fade,15.7,15.0,6.9,1.05,52.7,1.5,208.0,4163
Gekko,14.9,15.2,5.5,0.98,49.4,1.4,196.0,3920
Yoru,17.0,15.9,4.3,1.07,51.8,1.3,229.0,3745
Breach,14.9,15.3,8.1,0.97,47.9,1.1,201.0,3075
Iso,17.4,16.4,4.1,1.06,47.8,0.7,235.0,2086
Sage,15.9,15.2,7.0,1.04,53.2,0.6,213.0,1776
Neon,16.2,16.5,4.3,0.98,49.8,0.3,222.0,892
Deadlock,16.7,14.8,4.0,1.13,53.9,0.1,221.0,414
Harbor,15.0,13.4,5.6,1.12,66.0,0.0,193.0,47
