Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,17.5,15.1,4.4,1.16,50.7,11.8,248.0,1985961
Sage,13.0,14.6,6.7,0.89,49.9,9.4,185.0,1583333
Omen,14.5,14.9,5.6,0.97,48.8,9.3,204.0,1565193
Jett,16.9,15.3,3.7,1.1,50.3,6.9,239.0,1158919
Cypher,14.0,14.2,4.9,0.99,49.8,6.9,196.0,1150646
Raze,15.8,15.5,4.6,1.02,49.4,6.1,231.0,1031103
Skye,13.4,14.8,7.1,0.9,48.9,5.9,192.0,983856
Brimstone,14.0,14.7,7.3,0.95,50.2,4.9,203.0,815637
Killjoy,13.8,14.1,3.9,0.98,50.0,4.7,198.0,792409
Sova,13.9,14.5,5.1,0.96,49.3,3.9,199.0,656483
Gekko,13.4,14.9,4.9,0.9,49.6,3.6,190.0,604193
Phoenix,16.3,15.0,4.5,1.09,50.2,3.6,234.0,599692
Chamber,15.6,14.5,3.3,1.07,48.8,3.4,217.0,563299
Viper,14.0,14.5,5.0,0.97,49.2,2.9,200.0,481297
Iso,15.6,15.8,4.2,0.99,46.5,2.7,225.0,454361
Neon,15.6,15.8,4.1,0.99,48.4,2.3,224.0,390374
KAY/O,13.4,15.2,8.0,0.88,46.1,2.3,195.0,386141
Breach,14.1,15.2,5.8,0.93,48.8,2.2,201.0,366251
Yoru,15.1,15.3,4.2,0.99,47.1,2.1,214.0,357661
Fade,13.5,14.9,6.0,0.9,48.9,2.1,192.0,357339
Deadlock,14.2,14.8,4.1,0.96,48.7,1.2,199.0,199690
Astra,14.7,14.4,5.5,1.02,49.8,1.0,205.0,170937
Harbor,13.4,15.0,5.4,0.89,46.5,0.8,190.0,141547
